employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won?,avg_training_score,is_promoted
53765,Sales & Marketing,region_9,Master's & above,m,other,1,29,3.0,5,0,48,0
38394,Operations,region_19,Master's & above,m,other,1,42,5.0,14,0,60,0
55920,Legal,region_27,Bachelor's,m,sourcing,1,26,4.0,2,0,59,1
33195,Procurement,region_31,Bachelor's,m,other,2,33,5.0,7,0,67,0
70054,Technology,region_13,Bachelor's,m,sourcing,2,30,5.0,7,0,79,0
43543,Finance,region_27,Bachelor's,m,other,2,24,,1,0,58,0
14278,Operations,region_32,Bachelor's,f,sourcing,1,32,4.0,3,0,61,0
29939,Operations,region_22,Bachelor's,f,sourcing,2,24,3.0,3,0,60,0
44580,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,54,3.0,23,0,52,0
39643,Procurement,region_8,Bachelor's,m,other,1,33,5.0,8,0,68,0
794,Sales & Marketing,region_15,Bachelor's,m,sourcing,2,34,1.0,5,0,52,0
45580,Sales & Marketing,region_2,Master's & above,m,sourcing,2,36,5.0,10,0,65,1
75328,Sales & Marketing,region_24,Bachelor's,m,sourcing,1,25,3.0,2,0,47,0
77832,Sales & Marketing,region_7,Bachelor's,f,sourcing,1,35,1.0,7,1,46,0
76933,Technology,region_2,Bachelor's,f,other,2,58,2.0,18,0,78,0
65476,Sales & Marketing,region_27,,m,sourcing,2,28,1.0,5,0,49,0
55626,Operations,region_2,Master's & above,f,other,1,44,1.0,13,0,58,0
67802,Operations,region_2,Bachelor's,m,other,1,43,4.0,13,0,60,0
26914,Analytics,region_26,Bachelor's,f,other,1,28,5.0,2,0,87,0
1699,Procurement,region_11,Master's & above,m,other,1,35,3.0,4,0,75,0
4684,Technology,region_2,Bachelor's,f,sourcing,2,30,3.0,6,0,79,0
76234,Finance,region_2,Bachelor's,f,other,1,37,5.0,2,0,61,0
40843,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,40,2.0,5,0,51,0
23023,Operations,region_2,Bachelor's,m,sourcing,1,34,4.0,7,0,61,0
12604,Procurement,region_17,Bachelor's,f,other,1,39,3.0,3,0,69,0
20545,Operations,region_22,Bachelor's,m,other,2,32,3.0,5,0,58,0
11713,Analytics,region_29,Bachelor's,m,referred,1,27,3.0,6,0,81,0
40911,Technology,region_2,Bachelor's,m,referred,1,31,4.0,6,0,77,0
54765,Procurement,region_2,Bachelor's,m,other,1,49,3.0,4,0,69,0
63971,Analytics,region_22,Bachelor's,m,sourcing,1,43,3.0,8,0,86,0
51811,Procurement,region_6,Bachelor's,f,other,1,31,2.0,9,0,66,0
14761,Analytics,region_22,Bachelor's,m,other,3,33,5.0,6,0,85,0
46930,Operations,region_13,Master's & above,f,sourcing,1,43,5.0,4,0,58,0
30594,Sales & Marketing,region_30,Bachelor's,m,other,1,29,1.0,7,0,47,0
12440,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,35,5.0,6,0,50,0
36324,Operations,region_2,Bachelor's,f,other,1,39,3.0,7,0,61,0
32689,Sales & Marketing,region_7,,m,other,1,26,1.0,4,0,49,0
43434,Sales & Marketing,region_27,Bachelor's,m,other,1,27,3.0,3,0,49,0
28475,Sales & Marketing,region_30,Bachelor's,m,sourcing,1,39,1.0,7,0,49,0
13008,Operations,region_7,Bachelor's,m,other,2,37,3.0,4,0,63,0
35457,Analytics,region_2,Bachelor's,m,sourcing,1,36,3.0,5,0,81,0
22634,Operations,region_2,Bachelor's,f,sourcing,1,57,4.0,14,0,59,0
